DEPTH (m),O2 (mg/L)
12.1,4.15937526
12.1,4.16103264
12.1,4.16409519
12.1,4.16777025
12.1,4.23475002
12.1,4.27910295
12.1,4.28616483
12.1,4.29192963
12.1,2.87263587
12.1,4.6244505
12.1,3.87383751
12.1,3.90662481
12.1,3.96146247
12.1,4.27913898
12.1,4.31866389
12.1,4.36485435
12.1,4.35930573
12.1,4.35826086
12.1,4.16791437
12.1,4.20484512
12.1,4.22152701
12.1,4.22556237
12.1,4.24318104
12.1,4.25968278
12.1,4.2655917
12.1,4.28310228
12.1,4.18719042
12.1,4.22051817
12.1,4.28299419
12.1,4.30036065
12.1,4.34334444
12,4.22080641
12,4.21107831
12,4.20091785
12,4.18783896
12,4.17277842
12,4.09001751
12,4.09297197
12,4.07776731
12,4.07985705
12,4.08313578
12,4.09563819
12,4.09599849
12,4.0933683
12,4.08954912
12,4.09239549
12,4.09675512
12,4.09938531
12,4.10320449
12,4.10298831
12,4.10471775
12,4.06411194
12,4.07625405
12,4.07928057
12,4.06692228
12,4.07243487
12,4.08490125
12,4.08086589
12,4.12705635
12,4.16409519
12,4.16391504
12,4.27175283
12,4.27690512
12,4.26397035
12,4.1636268
12,4.20210684
12,4.23255219
12,4.23871332
12,2.91089973
12,4.26569979
12,4.25525109
12,4.22876904
12,4.25690847
12,4.17948
12,4.18794705
12,4.33930908
11.9,4.34431725
11.9,4.31938449
11.9,4.2580254
11.9,4.24480239
11.9,4.13966685
11.9,4.13764917
11.9,4.13685651
11.9,4.13379396
11.9,4.08799983
11.9,4.08886455
11.9,4.08900867
11.9,4.09131459
11.9,4.09138665
11.9,4.09239549
11.9,4.0933683
11.9,4.09823235
11.9,4.10248389
11.9,4.10349273
11.9,4.07657832
11.9,4.07737098
11.9,4.08043353
11.9,4.0807578
11.9,4.08057765
11.9,4.08151443
11.9,4.0803975
11.9,4.08165855
11.9,4.08025338
11.9,4.0814784
11.9,4.09362051
11.9,4.09617864
11.9,4.09426905
11.9,4.09232343
11.9,4.09398081
11.9,4.09070208
11.9,4.09232343
11.9,4.09873677
11.9,4.10107872
11.9,4.10270007
11.9,4.1092215
11.9,4.10889723
11.9,4.10097063
11.9,4.0587795
11.9,4.06775097
11.9,4.07218266
11.9,4.07362386
11.9,4.06976865
11.9,4.07157015
11.9,4.07600184
11.9,4.07899233
11.9,4.0667061
11.9,4.06962453
11.9,4.07275914
11.9,4.07629008
11.9,4.07171427
11.9,4.08810792
11.9,4.08864837
11.9,4.0915668
11.9,4.07697465
11.9,4.06249059
11.9,4.08270342
11.9,4.0814784
11.9,4.11808488
11.9,4.12060698
11.9,4.14215292
11.9,4.1445309
11.9,4.1463324
11.9,4.15941129
11.9,4.16308635
11.9,4.16676141
11.9,4.20268332
11.9,4.21940124
11.9,4.244334
11.9,4.25780922
11.9,4.26000705
11.9,4.26141222
11.9,4.26324975
11.9,4.2764007
11.9,4.29239802
11.9,4.29099285
11.9,4.28659719
11.9,4.26872631
11.9,4.1697519
11.9,4.19832369
11.9,4.19666631
11.9,4.2050613
11.9,4.20322377
11.9,3.93739443
11.9,4.2493782
11.9,4.36110723
11.9,4.35519831
11.9,4.2310029
11.9,4.24188396
11.9,4.25125176
11.9,4.26544758
11.9,4.1996568
11.9,4.20531351
11.9,4.21248348
11.9,4.22646312
11.9,4.23766845
11.9,4.2382089
11.9,4.25344959
11.9,4.18358742
11.9,4.21684311
11.9,4.2288411
11.9,4.24444209
11.9,4.25640405
11.9,4.29409143
11.8,4.27593231
11.8,4.15350237
11.8,4.12730856
11.8,4.0829196
11.8,4.09026972
11.8,4.09167489
11.8,4.09340433
11.8,4.03910712
11.8,4.07492094
11.8,4.0760739
11.8,4.07837982
11.8,4.08064971
11.8,4.10511408
11.8,4.06724655
11.8,4.0667061
11.8,4.07960484
11.8,4.06893996
11.8,4.07178633
11.8,4.24411782
11.8,4.09996179
11.8,4.09380066
11.8,4.09340433
11.8,4.08468507
11.8,4.08763953
11.8,4.08558582
11.8,4.07592978
11.8,4.07884821
11.8,4.09758381
11.8,4.09812426
11.8,4.11242817
11.8,4.2619887
11.8,4.26951897
11.8,4.2908127
11.8,4.28021988
11.8,4.19472069
11.8,4.20005313
11.8,4.18081311
11.8,4.24523475
11.8,4.19601777
11.8,4.19922444
11.8,4.22779623
11.8,4.20516939
11.8,4.21471734
11.8,4.23705594
